dx,mental_cat,match_type
T50.Z12A,self_harm,exact
T50.Z12D,self_harm,exact
T50.Z12S,self_harm,exact
T50.Z92,self_harm,exact
T50.Z92A,self_harm,exact
T50.Z92D,self_harm,exact
T50.Z92S,self_harm,exact
T51.0X2,self_harm,exact
T51.0X2A,self_harm,exact
T51.0X2D,self_harm,exact
T51.0X2S,self_harm,exact
T51.1X2,self_harm,exact
T51.1X2A,self_harm,exact
T51.1X2D,self_harm,exact
T51.1X2S,self_harm,exact
T51.2X2,self_harm,exact
T51.2X2A,self_harm,exact
T51.2X2D,self_harm,exact
T51.2X2S,self_harm,exact
T51.3X2,self_harm,exact
T51.3X2A,self_harm,exact
T51.3X2D,self_harm,exact
T51.3X2S,self_harm,exact
T51.8X2,self_harm,exact
T51.8X2A,self_harm,exact
T51.8X2D,self_harm,exact
T51.8X2S,self_harm,exact
T51.92XA,self_harm,exact
T51.92XD,self_harm,exact
T51.92XS,self_harm,exact
T52.0X2,self_harm,exact
T52.0X2A,self_harm,exact
T52.0X2D,self_harm,exact
T52.0X2S,self_harm,exact
T52.1X2,self_harm,exact
T52.1X2A,self_harm,exact
T52.1X2D,self_harm,exact
T52.1X2S,self_harm,exact
T52.2X2,self_harm,exact
T52.2X2A,self_harm,exact
T52.2X2D,self_harm,exact
T52.2X2S,self_harm,exact
T52.3X2,self_harm,exact
T52.3X2A,self_harm,exact
T52.3X2D,self_harm,exact
T52.3X2S,self_harm,exact
T52.4X2,self_harm,exact
T52.4X2A,self_harm,exact
T52.4X2D,self_harm,exact
T52.4X2S,self_harm,exact
T52.8X2,self_harm,exact
T52.8X2A,self_harm,exact
T52.8X2D,self_harm,exact
T52.8X2S,self_harm,exact
T52.92XA,self_harm,exact
T52.92XD,self_harm,exact
T52.92XS,self_harm,exact
T53.0X2,self_harm,exact
T53.0X2A,self_harm,exact
T53.0X2D,self_harm,exact
T53.0X2S,self_harm,exact
T53.1X2,self_harm,exact
T53.1X2A,self_harm,exact
T53.1X2D,self_harm,exact
T53.1X2S,self_harm,exact
T53.2X2,self_harm,exact
T53.2X2A,self_harm,exact
T53.2X2D,self_harm,exact
T53.2X2S,self_harm,exact
T53.3X2,self_harm,exact
T53.3X2A,self_harm,exact
T53.3X2D,self_harm,exact
T53.3X2S,self_harm,exact
T53.4X2,self_harm,exact
T53.4X2A,self_harm,exact
T53.4X2D,self_harm,exact
T53.4X2S,self_harm,exact
T53.5X2,self_harm,exact
T53.5X2A,self_harm,exact
T53.5X2D,self_harm,exact
T53.5X2S,self_harm,exact
T53.6X2,self_harm,exact
T53.6X2A,self_harm,exact
T53.6X2D,self_harm,exact
T53.6X2S,self_harm,exact
T53.7X2,self_harm,exact
T53.7X2A,self_harm,exact
T53.7X2D,self_harm,exact
T53.7X2S,self_harm,exact
T53.92XA,self_harm,exact
T53.92XD,self_harm,exact
T53.92XS,self_harm,exact
T54.0X2,self_harm,exact
T54.0X2A,self_harm,exact
T54.0X2D,self_harm,exact
T54.0X2S,self_harm,exact
T54.1X2,self_harm,exact
T54.1X2A,self_harm,exact
T54.1X2D,self_harm,exact
